block,feature_id,feature,creole,creole_gc,lexifier,lexifier_group,creole_value,lexifier_value,verdict,note
periphrasis,GB122,verb compounding is a regular process,South Sudanese Creole Arabic,suda1237,Standard Arabic,non-european,?,0,unknown,Sudanese Arabic absent from Grambank; non-European lexifier
periphrasis,GB158,verbs are reduplicated,South Sudanese Creole Arabic,suda1237,Standard Arabic,non-european,1,1,KEPT,Sudanese Arabic absent from Grambank; non-European lexifier
periphrasis,GB159,nouns are reduplicated,South Sudanese Creole Arabic,suda1237,Standard Arabic,non-european,?,0,unknown,Sudanese Arabic absent from Grambank; non-European lexifier
derivation,GB047,action/state noun from verb (nominalisation),Sri Lanka Malay,sril1245,Standard Malay,non-european,1,1,KEPT,non-European lexifier
derivation,GB048,agent noun from verb,Sri Lanka Malay,sril1245,Standard Malay,non-european,?,1,unknown,non-European lexifier
derivation,GB049,object noun from verb,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,0,GAINED,non-European lexifier
derivation,GB187,diminutive on the noun,Sri Lanka Malay,sril1245,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
derivation,GB188,augmentative on the noun,Sri Lanka Malay,sril1245,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
derivation,GB155,causative by affix/clitic on the verb,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,1,KEPT,non-European lexifier
derivation,GB113,transitivising affix/clitic,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,1,KEPT,non-European lexifier
inflection,GB044,productive plural marking on nouns,Sri Lanka Malay,sril1245,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB070,morphological case on core arguments,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,0,GAINED,non-European lexifier
inflection,GB072,morphological case on obliques,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,0,GAINED,non-European lexifier
inflection,GB079,verb prefixes/proclitics (beyond argument marking),Sri Lanka Malay,sril1245,Standard Malay,non-european,1,1,KEPT,non-European lexifier
inflection,GB080,verb suffixes/enclitics (beyond argument marking),Sri Lanka Malay,sril1245,Standard Malay,non-european,1,1,KEPT,non-European lexifier
inflection,GB082,present-tense marking on the verb,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,0,GAINED,non-European lexifier
inflection,GB083,past-tense marking on the verb,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,0,GAINED,non-European lexifier
inflection,GB084,future-tense marking on the verb,Sri Lanka Malay,sril1245,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB086,perfective/imperfective on the verb,Sri Lanka Malay,sril1245,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB089,S indexed by suffix on the verb (agreement),Sri Lanka Malay,sril1245,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB092,A indexed by prefix on the verb (agreement),Sri Lanka Malay,sril1245,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB147,morphological passive on the lexical verb,Sri Lanka Malay,sril1245,Standard Malay,non-european,0,1,LOST,non-European lexifier
periphrasis,GB122,verb compounding is a regular process,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,0,GAINED,non-European lexifier
periphrasis,GB158,verbs are reduplicated,Sri Lanka Malay,sril1245,Standard Malay,non-european,1,0,GAINED,non-European lexifier
periphrasis,GB159,nouns are reduplicated,Sri Lanka Malay,sril1245,Standard Malay,non-european,0,1,LOST,non-European lexifier
derivation,GB047,action/state noun from verb (nominalisation),Baba Malay,baba1267,Standard Malay,non-european,0,1,LOST,non-European lexifier
derivation,GB048,agent noun from verb,Baba Malay,baba1267,Standard Malay,non-european,0,1,LOST,non-European lexifier
derivation,GB049,object noun from verb,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
derivation,GB187,diminutive on the noun,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
derivation,GB188,augmentative on the noun,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
derivation,GB155,causative by affix/clitic on the verb,Baba Malay,baba1267,Standard Malay,non-european,0,1,LOST,non-European lexifier
derivation,GB113,transitivising affix/clitic,Baba Malay,baba1267,Standard Malay,non-european,1,1,KEPT,non-European lexifier
inflection,GB044,productive plural marking on nouns,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB070,morphological case on core arguments,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB072,morphological case on obliques,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB079,verb prefixes/proclitics (beyond argument marking),Baba Malay,baba1267,Standard Malay,non-european,1,1,KEPT,non-European lexifier
inflection,GB080,verb suffixes/enclitics (beyond argument marking),Baba Malay,baba1267,Standard Malay,non-european,1,1,KEPT,non-European lexifier
inflection,GB082,present-tense marking on the verb,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB083,past-tense marking on the verb,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB084,future-tense marking on the verb,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB086,perfective/imperfective on the verb,Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB089,S indexed by suffix on the verb (agreement),Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB092,A indexed by prefix on the verb (agreement),Baba Malay,baba1267,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB147,morphological passive on the lexical verb,Baba Malay,baba1267,Standard Malay,non-european,0,1,LOST,non-European lexifier
periphrasis,GB122,verb compounding is a regular process,Baba Malay,baba1267,Standard Malay,non-european,1,0,GAINED,non-European lexifier
periphrasis,GB158,verbs are reduplicated,Baba Malay,baba1267,Standard Malay,non-european,1,0,GAINED,non-European lexifier
periphrasis,GB159,nouns are reduplicated,Baba Malay,baba1267,Standard Malay,non-european,1,1,KEPT,non-European lexifier
derivation,GB047,action/state noun from verb (nominalisation),Ambonese Malay,ambo1250,Standard Malay,non-european,0,1,LOST,non-European lexifier
derivation,GB048,agent noun from verb,Ambonese Malay,ambo1250,Standard Malay,non-european,0,1,LOST,non-European lexifier
derivation,GB049,object noun from verb,Ambonese Malay,ambo1250,Standard Malay,non-european,1,0,GAINED,non-European lexifier
derivation,GB187,diminutive on the noun,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
derivation,GB188,augmentative on the noun,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
derivation,GB155,causative by affix/clitic on the verb,Ambonese Malay,ambo1250,Standard Malay,non-european,0,1,LOST,non-European lexifier
derivation,GB113,transitivising affix/clitic,Ambonese Malay,ambo1250,Standard Malay,non-european,0,1,LOST,non-European lexifier
inflection,GB044,productive plural marking on nouns,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB070,morphological case on core arguments,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB072,morphological case on obliques,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB079,verb prefixes/proclitics (beyond argument marking),Ambonese Malay,ambo1250,Standard Malay,non-european,1,1,KEPT,non-European lexifier
inflection,GB080,verb suffixes/enclitics (beyond argument marking),Ambonese Malay,ambo1250,Standard Malay,non-european,1,1,KEPT,non-European lexifier
inflection,GB082,present-tense marking on the verb,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB083,past-tense marking on the verb,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB084,future-tense marking on the verb,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB086,perfective/imperfective on the verb,Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB089,S indexed by suffix on the verb (agreement),Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB092,A indexed by prefix on the verb (agreement),Ambonese Malay,ambo1250,Standard Malay,non-european,0,0,ABSENT,non-European lexifier
inflection,GB147,morphological passive on the lexical verb,Ambonese Malay,ambo1250,Standard Malay,non-european,0,1,LOST,non-European lexifier
periphrasis,GB122,verb compounding is a regular process,Ambonese Malay,ambo1250,Standard Malay,non-european,1,0,GAINED,non-European lexifier
periphrasis,GB158,verbs are reduplicated,Ambonese Malay,ambo1250,Standard Malay,non-european,1,0,GAINED,non-European lexifier
periphrasis,GB159,nouns are reduplicated,Ambonese Malay,ambo1250,Standard Malay,non-european,1,1,KEPT,non-European lexifier
