feature_id,n_languages,l1_covered,total_covered,l1_share,total_share,dataset,feature
GB146,1327,4133868042.0,7450366864.959372,60.3,68.6,grambank,Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?
GB147,1874,4560051896.0,7983521913.312972,66.5,73.5,grambank,Is there a morphological passive marked on the lexical verb?
GB148,1754,4393662544.0,7776325464.744371,64.0,71.6,grambank,Is there a morphological antipassive marked on the lexical verb?
GB149,1904,4401179090.0,7795059966.238972,64.2,71.7,grambank,Is there a morphologically marked inverse on verbs?
GB150,1468,4121161380.0,7499655299.470972,60.1,69.0,grambank,Is there clause chaining?
GB151,1737,4106272200.0,7386632991.875372,59.9,68.0,grambank,"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?"
GB152,1663,4325948599.0,7685496367.874972,63.1,70.7,grambank,Is there a morphologically marked distinction between simultaneous and sequential clauses?
GB155,1993,4561595638.0,7965416370.538772,66.5,73.3,grambank,Are causatives formed by affixes or clitics on verbs?
GB156,1746,4415807767.0,7768321241.182772,64.4,71.5,grambank,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?
GB158,1837,4207874230.0,7591764488.306,61.3,69.9,grambank,Are verbs reduplicated?
GB159,1657,4051179629.0,7418409877.961342,59.1,68.3,grambank,Are nouns reduplicated?
GB160,1666,4315192380.0,7689492528.696372,62.9,70.8,grambank,Are elements apart from verbs or nouns reduplicated?
GB165,2071,4421983973.0,7658332848.428172,64.5,70.5,grambank,Is there productive morphological trial marking on nouns?
GB166,2062,4421936473.0,7658332848.428172,64.5,70.5,grambank,Is there productive morphological paucal marking on nouns?
GB167,1541,4283993264.0,7505392145.57383,62.4,69.1,grambank,Is there a logophoric pronoun?
GB170,2073,4365479749.0,7572801519.338172,63.6,69.7,grambank,Can an adnominal property word agree with the noun in gender/noun class?
GB171,2075,4427179281.0,7663458772.199371,64.5,70.5,grambank,Can an adnominal demonstrative agree with the noun in gender/noun class?
GB172,2056,4410837904.0,7642231786.741172,64.3,70.3,grambank,Can an article agree with the noun in gender/noun class?
GB177,1821,4225552952.0,7420734104.485172,61.6,68.3,grambank,"Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?"
GB184,1874,4282059705.0,7476626982.132172,62.4,68.8,grambank,Can an adnominal property word agree with the noun in number?
GB185,1907,4168496515.0,7313469278.589372,60.8,67.3,grambank,Can an adnominal demonstrative agree with the noun in number?
GB186,1925,4269528557.0,7441181395.477172,62.2,68.5,grambank,Can an article agree with the noun in number?
GB187,1427,4028876317.0,7276681509.087172,58.7,67.0,grambank,Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?
GB188,1284,3449124400.0,6419788409.92543,50.3,59.1,grambank,Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?
GB192,2028,4402732894.0,7633433751.320171,64.2,70.2,grambank,Is there a gender system where a noun's phonological properties are a factor in class assignment?
GB193,2062,4354199593.0,7586631393.098172,63.5,69.8,grambank,What is the order of adnominal property word and noun?
GB196,2112,4421982309.0,7657553792.771372,64.5,70.5,grambank,Is there a male/female distinction in 2nd person independent pronouns?
GB197,2117,4422024309.0,7657553792.771372,64.5,70.5,grambank,Is there a male/female distinction in 1st person independent pronouns?
GB198,1998,4251798086.0,7381704953.166172,62.0,67.9,grambank,Can an adnominal numeral agree with the noun in gender/noun class?
GB203,1519,4200255510.0,7240887476.48143,61.2,66.6,grambank,What is the order of the adnominal collective universal quantifier ('all') and the noun?
GB204,1094,4087480731.0,7147327907.75243,59.6,65.8,grambank,Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?
GB250,1462,4167060868.0,7260582905.035972,60.7,66.8,grambank,Can predicative possession be expressed with a transitive 'habeo' verb?
GB252,1316,4052090332.0,7318006827.963772,59.1,67.3,grambank,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?
GB253,1308,4045369221.0,7299911595.327772,59.0,67.2,grambank,Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?
GB254,1366,3938304608.0,7176137902.7177725,57.4,66.0,grambank,Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?
GB256,1322,3948697354.0,6994629459.057972,57.6,64.4,grambank,Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?
GB257,1581,4159201661.0,7428077878.49023,60.6,68.3,grambank,Can polar interrogation be marked by intonation only?
GB260,1704,4236621328.0,7466507592.45183,61.8,68.7,grambank,Can polar interrogation be indicated by a special word order?
GB262,1720,4268830015.0,7339740300.842629,62.2,67.5,grambank,Is there a clause-initial polar interrogative particle?
GB263,1708,4261682635.0,7505117292.84383,62.1,69.1,grambank,Is there a clause-final polar interrogative particle?
GB264,1708,4224008943.0,7465704318.922629,61.6,68.7,grambank,Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?
GB265,1241,4284392746.0,7495058070.761572,62.5,69.0,grambank,"Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?"
GB266,1210,4274762601.0,7475937221.271372,62.3,68.8,grambank,Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?
GB270,1177,4248614616.0,7450570866.295571,61.9,68.6,grambank,Can comparatives be expressed using two conjoined clauses?
GB273,1199,4260033350.0,7476663087.861572,62.1,68.8,grambank,Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?
GB275,1286,4347934692.0,7576513877.143372,63.4,69.7,grambank,Is there a bound comparative degree marker on the property word in a comparative construction?
GB276,1258,4319541974.0,7547290788.8223715,63.0,69.4,grambank,Is there a non-bound comparative degree marker modifying the property word in a comparative construction?
GB285,1667,4096856610.0,7239523565.392631,59.7,66.6,grambank,Can polar interrogation be marked by a question particle and verbal morphology?
GB286,1718,4209033280.0,7415980365.04863,61.4,68.2,grambank,Can polar interrogation be indicated by overt verbal morphology only?
GB291,1661,4203777700.0,7441294436.52583,61.3,68.5,grambank,Can polar interrogation be marked by tone?
GB296,937,2944232479.0,5440689795.2898,42.9,50.1,grambank,Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?
GB297,1574,4091631227.0,7285634065.75783,59.6,67.0,grambank,Can polar interrogation be indicated by a V-not-V construction?
GB298,1982,4259332081.0,7445997961.363172,62.1,68.5,grambank,"Can standard negation be marked by an inflecting word (""auxiliary verb"")?"
GB299,1998,4272108069.0,7471089552.056172,62.3,68.7,grambank,"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?"
GB300,1251,4023050683.0,7229697332.189772,58.6,66.5,grambank,Does the verb for 'give' have suppletive verb forms?
GB301,1092,3847256424.0,6621629566.95863,56.1,60.9,grambank,Is there an inclusory construction?
GB302,1557,4054300631.0,7267834666.327171,59.1,66.9,grambank,"Is there a phonologically free passive marker (""particle"" or ""auxiliary"")?"
GB303,1480,4173046288.0,7393177752.633772,60.8,68.0,grambank,"Is there a phonologically free antipassive marker (""particle"" or ""auxiliary"")?"
GB304,1293,4109578838.0,7314875713.20053,59.9,67.3,grambank,Can the agent be expressed overtly in a passive clause?
GB305,1657,4208224630.0,7425487861.645172,61.3,68.3,grambank,Is there a phonologically independent reflexive pronoun?
GB306,1493,3989609347.0,7232667431.40063,58.2,66.6,grambank,Is there a phonologically independent non-bipartite reciprocal pronoun?
GB309,1867,4223459940.0,7422927898.31763,61.6,68.3,grambank,"Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?"
GB312,1865,4286617452.0,7471800411.738172,62.5,68.8,grambank,Is there overt morphological marking on the verb dedicated to mood?
GB313,1876,4170043476.0,7347173378.662572,60.8,67.6,grambank,Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?
GB314,1751,3943967863.0,7128354293.74443,57.5,65.6,grambank,Can augmentative meaning be expressed productively by a shift of gender/noun class?
GB315,1789,4120176411.0,7320521589.981372,60.1,67.4,grambank,Can diminutive meaning be expressed productively by a shift of gender/noun class?
GB316,1958,4194633394.0,7358980824.882172,61.1,67.7,grambank,Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?
GB317,1949,4206379668.0,7378991493.182172,61.3,67.9,grambank,Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?
GB318,1986,4212381597.0,7387494297.558171,61.4,68.0,grambank,Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?
GB319,1968,4206595397.0,7378991493.182172,61.3,67.9,grambank,Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?
GB320,1954,4209894797.0,7384059609.182172,61.4,67.9,grambank,Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?
GB321,1900,4278103065.0,7484209029.830172,62.4,68.9,grambank,Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?
GB322,1377,4116039326.0,7257114905.05203,60.0,66.8,grambank,Is there grammatical marking of direct evidence (perceived with the senses)?
GB323,1384,4117893650.0,7282794686.9880295,60.0,67.0,grambank,"Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?"
GB324,1776,4256271296.0,7461805261.415372,62.0,68.7,grambank,"Is there an interrogative verb for content interrogatives (who?, what?, etc.)?"
GB325,1296,4046677321.0,7038958342.343329,59.0,64.8,grambank,Is there a count/mass distinction in interrogative quantifiers?
GB326,1698,4156744666.0,7339424753.323372,60.6,67.5,grambank,Do (nominal) content interrogatives normally or frequently occur in situ?
GB327,1682,4055423046.0,7240311767.602172,59.1,66.6,grambank,Can the relative clause follow the noun?
GB328,1541,4145877422.0,7347272603.108771,60.4,67.6,grambank,Can the relative clause precede the noun?
GB329,1378,3713447521.0,6580094096.78503,54.1,60.5,grambank,Are there internally-headed relative clauses?
GB330,1355,3961126013.0,6934185883.88043,57.7,63.8,grambank,Are there correlative relative clauses?
GB331,1361,3892020210.0,6833795476.85223,56.7,62.9,grambank,Are there non-adjacent relative clauses?
GB333,1688,4210762771.0,7424018213.785372,61.4,68.3,grambank,Is there a decimal numeral system?
GB334,1724,4217012045.0,7420939985.370372,61.5,68.3,grambank,Is there synchronic evidence for any element of a quinary numeral system?
GB335,1619,4213113357.0,7418828598.827372,61.4,68.3,grambank,Is there synchronic evidence for any element of a vigesimal numeral system?
GB336,1640,4045279814.0,7218868159.599372,59.0,66.4,grambank,Is there a body-part tallying system?
GB400,1461,3865988464.0,6630490092.58663,56.4,61.0,grambank,"Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?"
GB401,817,2814437791.0,5190714983.921929,41.0,47.8,grambank,Is there a class of patient-labile verbs?
GB402,1095,3741227712.0,6524710024.87443,54.5,60.0,grambank,Does the verb for 'see' have suppletive verb forms?
GB403,1124,3773469089.0,6558755239.11983,55.0,60.4,grambank,Does the verb for 'come' have suppletive verb forms?
GB408,1726,4078477210.0,6868086438.65483,59.5,63.2,grambank,Is there any accusative alignment of flagging?
GB409,1722,3881176695.0,6640279672.25383,56.6,61.1,grambank,Is there any ergative alignment of flagging?
GB410,1696,4072687158.0,6863157469.68683,59.4,63.2,grambank,Is there any neutral alignment of flagging?
GB415,1694,4059581218.0,6852135157.06483,59.2,63.0,grambank,Is there a politeness distinction in 2nd person forms?
GB421,1076,3714037107.0,6470158658.88203,54.1,59.5,grambank,Is there a preposed complementizer in complements of verbs of thinking and/or knowing?
GB422,1085,3815106657.0,6586487559.17103,55.6,60.6,grambank,Is there a postposed complementizer in complements of verbs of thinking and/or knowing?
GB430,1805,4087181081.0,6878095772.36483,59.6,63.3,grambank,Can adnominal possession be marked by a prefix on the possessor?
GB431,1817,4078514831.0,6869207851.12683,59.5,63.2,grambank,Can adnominal possession be marked by a prefix on the possessed noun?
GB432,1804,4083411061.0,6874516766.76483,59.5,63.3,grambank,Can adnominal possession be marked by a suffix on the possessor?
GB433,1824,4000973100.0,6771630462.49383,58.3,62.3,grambank,Can adnominal possession be marked by a suffix on the possessed noun?
GB519,1553,3956178688.0,6730241943.888229,57.7,61.9,grambank,"Can mood be marked by a non-inflecting word (""auxiliary particle"")?"
GB520,1615,4016886563.0,6566363791.09363,58.6,60.4,grambank,"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?"
GB521,1649,4041419051.0,6774905314.12083,58.9,62.3,grambank,"Can tense be marked by a non-inflecting word (""auxiliary particle"")?"
GB522,1492,3927213104.0,6716683990.93343,57.2,61.8,grambank,"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?"
0,68,57166876.0,98034844.1472,0.8,0.9,apics,Lexifier language for atlas map
1,68,57166876.0,98034844.1472,0.8,0.9,apics,"Order of subject, object, and verb"
2,68,57166876.0,98034844.1472,0.8,0.9,apics,Order of possessor and possessum
3,68,57166876.0,98034844.1472,0.8,0.9,apics,Order of adjective and noun
4,68,57166876.0,98034844.1472,0.8,0.9,apics,Order of adposition and noun phrase
5,67,57166876.0,98034844.1472,0.8,0.9,apics,Order of demonstrative and noun
6,68,57166876.0,98034844.1472,0.8,0.9,apics,Order of cardinal numeral and noun
7,67,57166876.0,98034844.1472,0.8,0.9,apics,Order of relative clause and noun
8,67,57166876.0,98034844.1472,0.8,0.9,apics,Order of degree word and adjective
9,67,57166876.0,98034844.1472,0.8,0.9,apics,Position of definite article in the noun phrase
10,68,57166876.0,98034844.1472,0.8,0.9,apics,Position of indefinite article in the noun phrase
11,63,57158676.0,98034844.1472,0.8,0.9,apics,"Order of frequency adverb, verb, and object"
12,68,57166876.0,98034844.1472,0.8,0.9,apics,Position of interrogative phrases in content questions
13,68,57166876.0,98034844.1472,0.8,0.9,apics,Gender distinctions in personal pronouns
14,68,57166876.0,98034844.1472,0.8,0.9,apics,Dual in independent personal pronouns
15,68,57166876.0,98034844.1472,0.8,0.9,apics,Inclusive/exclusive distinction in independent personal pronouns
16,68,57166876.0,98034844.1472,0.8,0.9,apics,Person syncretism in independent personal pronouns
17,68,57166876.0,98034844.1472,0.8,0.9,apics,Special dependent person forms for subject and object
18,67,57146876.0,98034844.1472,0.8,0.9,apics,Politeness distinctions in second-person pronouns
19,66,57166876.0,98034844.1472,0.8,0.9,apics,Interrogative pronouns
20,62,57161276.0,98034844.1472,0.8,0.9,apics,Pronoun conjunction
21,66,57164276.0,98034844.1472,0.8,0.9,apics,Indefinite pronouns
22,68,57166876.0,98034844.1472,0.8,0.9,apics,Occurrence of nominal plural markers
23,68,57166876.0,98034844.1472,0.8,0.9,apics,Expression of nominal plural meaning
24,64,57166876.0,98034844.1472,0.8,0.9,apics,The associative plural
25,68,57166876.0,98034844.1472,0.8,0.9,apics,Nominal plural marker and third-person-plural pronoun
26,68,57166876.0,98034844.1472,0.8,0.9,apics,Functions of reduplication
27,67,57166876.0,98034844.1472,0.8,0.9,apics,Antidual of paired body-part terms
28,68,57166876.0,98034844.1472,0.8,0.9,apics,Definite articles
29,68,57166876.0,98034844.1472,0.8,0.9,apics,Indefinite articles
30,67,57166876.0,98034844.1472,0.8,0.9,apics,Generic noun phrases in subject function
31,68,57166876.0,98034844.1472,0.8,0.9,apics,Co-occurrence of demonstrative and definite article
32,67,57166876.0,98034844.1472,0.8,0.9,apics,Pronominal and adnominal demonstratives
33,67,57166876.0,98034844.1472,0.8,0.9,apics,Distance contrasts in demonstratives
34,64,57166876.0,98034844.1472,0.8,0.9,apics,Adnominal distributive numerals
35,61,57164275.0,98034844.1472,0.8,0.9,apics,Ordinal numerals
36,68,57166876.0,98034844.1472,0.8,0.9,apics,Sortal numeral classifiers
37,68,57166876.0,98034844.1472,0.8,0.9,apics,Marking of pronominal possessors
38,68,57166876.0,98034844.1472,0.8,0.9,apics,Marking of possessor noun phrases
39,64,57166875.0,98034844.1472,0.8,0.9,apics,Independent pronominal possessors
40,67,57166876.0,98034844.1472,0.8,0.9,apics,Gender agreement of adnominal adjectives
41,66,57166876.0,98034844.1472,0.8,0.9,apics,Comparative adjective marking
42,65,57166876.0,98034844.1472,0.8,0.9,apics,Comparative standard marking
43,68,57166876.0,98034844.1472,0.8,0.9,apics,"Position of tense, aspect, and mood markers in relation to the verb"
44,65,57161276.0,98034844.1472,0.8,0.9,apics,"Internal order of tense, aspect, and mood markers"
45,67,57166876.0,98034844.1472,0.8,0.9,apics,Tightness of the link between the past marker and the verb
46,67,57166876.0,98034844.1472,0.8,0.9,apics,Tightness of the link between the progressive marker and the verb
47,68,57166876.0,98034844.1472,0.8,0.9,apics,Uses of the progressive marker
48,68,57166876.0,98034844.1472,0.8,0.9,apics,Uses of the habitual marker
49,67,57166876.0,98034844.1472,0.8,0.9,apics,Tense-aspect systems
50,63,57164088.0,98034844.1472,0.8,0.9,apics,"Negation and tense, aspect, and mood marking"
51,67,57166876.0,98034844.1472,0.8,0.9,apics,Present reference of stative verbs and past perfective reference of dynamic verbs
52,65,57166876.0,98034844.1472,0.8,0.9,apics,Aspect markers and inchoative meaning
53,60,57119276.0,98034844.1472,0.8,0.9,apics,Aspect change in verb chains
54,68,57166876.0,98034844.1472,0.8,0.9,apics,Suppletion according to tense and aspect
55,67,57166876.0,98034844.1472,0.8,0.9,apics,Ability verb and epistemic possibility
56,67,57166876.0,98034844.1472,0.8,0.9,apics,The prohibitive
57,68,57166876.0,98034844.1472,0.8,0.9,apics,Marking of patient noun phrases
58,68,57166876.0,98034844.1472,0.8,0.9,apics,Alignment of case marking of full noun phrases
59,68,57166876.0,98034844.1472,0.8,0.9,apics,Alignment of case marking of personal pronouns
60,68,57166876.0,98034844.1472,0.8,0.9,apics,Ditransitive constructions with ‘give’
61,67,57166876.0,98034844.1472,0.8,0.9,apics,Order of recipient and theme in ditransitive constructions
62,68,57166876.0,98034844.1472,0.8,0.9,apics,Expression of pronominal subjects
63,63,57166876.0,98034844.1472,0.8,0.9,apics,Expletive subject in ‘seem’ constructions
64,67,57166876.0,98034844.1472,0.8,0.9,apics,Expletive subject of existential verb
65,66,57166876.0,98034844.1472,0.8,0.9,apics,Raining constructions
66,65,57122276.0,98034844.1472,0.8,0.9,apics,Experiencer constructions with ‘headache’
67,66,57166876.0,98034844.1472,0.8,0.9,apics,Experiencer constructions with ‘like’
68,64,57158676.0,98034844.1472,0.8,0.9,apics,Experiencer constructions with ‘fear’
69,67,57166876.0,98034844.1472,0.8,0.9,apics,Instrumental expressions
70,66,57166876.0,98034844.1472,0.8,0.9,apics,Comitatives and instrumentals
71,65,57166876.0,98034844.1472,0.8,0.9,apics,Noun phrase conjunction and comitative
72,67,57166876.0,98034844.1472,0.8,0.9,apics,Nominal and verbal conjunction
73,68,57166876.0,98034844.1472,0.8,0.9,apics,Predicative noun phrases
74,68,57166876.0,98034844.1472,0.8,0.9,apics,Predicative adjectives
75,68,57166876.0,98034844.1472,0.8,0.9,apics,Predicative locative phrases
76,68,57166876.0,98034844.1472,0.8,0.9,apics,Predicative noun phrases and predicative locative phrases
77,67,57166876.0,98034844.1472,0.8,0.9,apics,Predicative possession
78,67,57166876.0,98034844.1472,0.8,0.9,apics,Existential verb and transitive possession verb
79,68,57166876.0,98034844.1472,0.8,0.9,apics,Going to named places
80,67,57166876.0,98034844.1472,0.8,0.9,apics,Coming from named places
81,67,57166876.0,98034844.1472,0.8,0.9,apics,Motion-to and motion-from
82,59,57099476.0,98034844.1472,0.8,0.9,apics,Transitive motion verbs: ‘push’
83,59,57164268.0,98034844.1472,0.8,0.9,apics,Transitive motion verbs: ‘pull’
84,68,57166876.0,98034844.1472,0.8,0.9,apics,Directional serial verb constructions with 'come' and 'go'
85,68,57166876.0,98034844.1472,0.8,0.9,apics,‘Take’ serial verb constructions
86,67,57166876.0,98034844.1472,0.8,0.9,apics,'Give' serial verb constructions
87,64,57066868.0,98034844.1472,0.8,0.9,apics,Reflexive constructions
88,64,56567868.0,95265873.7472,0.8,0.9,apics,Intensifiers and reflexive pronouns
89,62,57166867.0,98034844.1472,0.8,0.9,apics,Reciprocal constructions
90,68,57166876.0,98034844.1472,0.8,0.9,apics,Passive constructions
91,68,57166876.0,98034844.1472,0.8,0.9,apics,Applicative constructions
92,66,57166876.0,98034844.1472,0.8,0.9,apics,Subject relative clauses
93,65,57166876.0,98034844.1472,0.8,0.9,apics,Object relative clauses
94,58,57119268.0,98034844.1472,0.8,0.9,apics,Instrument relative clauses
95,68,57166876.0,98034844.1472,0.8,0.9,apics,Complementizer with verbs of speaking
96,65,57166876.0,98034844.1472,0.8,0.9,apics,Complementizer with verbs of knowing
97,65,56374876.0,89369846.6472,0.8,0.8,apics,‘Want’ complement subjects
98,66,57166876.0,98034844.1472,0.8,0.9,apics,Complements of 'think' and 'want'
99,67,57161276.0,98034844.1472,0.8,0.9,apics,Verb doubling in temporal clauses
100,68,57166876.0,98034844.1472,0.8,0.9,apics,Negative morpheme types
101,68,57166876.0,98034844.1472,0.8,0.9,apics,Position of standard negation
102,66,57166876.0,98034844.1472,0.8,0.9,apics,Negation and indefinite pronouns
103,68,57166876.0,98034844.1472,0.8,0.9,apics,Polar questions
104,62,57066875.0,98034844.1472,0.8,0.9,apics,Focusing of the noun phrase
105,65,57161276.0,98034844.1472,0.8,0.9,apics,Verb doubling and focus
106,66,57120876.0,98034844.1472,0.8,0.9,apics,Focus particle ‘also’
107,63,56561276.0,97475659.5072,0.8,0.9,apics,Vocative markers
108,58,57151176.0,98034844.1472,0.8,0.9,apics,Para-linguistic usages of clicks
109,68,57166876.0,98034844.1472,0.8,0.9,apics,Pequenino
110,68,57166876.0,98034844.1472,0.8,0.9,apics,Savvy
111,60,57164276.0,98034844.1472,0.8,0.9,apics,'Tears'
112,67,57166876.0,98034844.1472,0.8,0.9,apics,'Hand' and 'arm'
113,60,57122268.0,98034844.1472,0.8,0.9,apics,'Finger' and 'toe'
114,62,57164276.0,98034844.1472,0.8,0.9,apics,'Body hair' and 'feather'
115,67,57166876.0,98034844.1472,0.8,0.9,apics,'Hear' and 'smell'
116,65,57166876.0,98034844.1472,0.8,0.9,apics,'Green' and 'blue'
117,64,57166868.0,98034844.1472,0.8,0.9,apics,Female and male animals
118,68,57166876.0,98034844.1472,0.8,0.9,apics,Syllable onsets
119,67,57076876.0,98034844.1472,0.8,0.9,apics,Syllable codas
120,68,57166876.0,98034844.1472,0.8,0.9,apics,Tone
121,68,57166876.0,98034844.1472,0.8,0.9,apics,Vowel height distinctions
122,68,57166876.0,98034844.1472,0.8,0.9,apics,Nasal vowels
123,68,57166876.0,98034844.1472,0.8,0.9,apics,The schwa vowel
124,68,57166876.0,98034844.1472,0.8,0.9,apics,Labiodental fricatives
125,68,57166876.0,98034844.1472,0.8,0.9,apics,Palato-alveolar sibilants
126,68,57166876.0,98034844.1472,0.8,0.9,apics,The voiced sibilant [z]
127,68,57166876.0,98034844.1472,0.8,0.9,apics,Interdental fricatives
128,68,57166876.0,98034844.1472,0.8,0.9,apics,The palatal nasal
129,68,57166876.0,98034844.1472,0.8,0.9,apics,Prenasalized consonants
130,68,57166876.0,98034844.1472,0.8,0.9,apics,The segment [h]
131,68,57166876.0,98034844.1472,0.8,0.9,apics,p - voiceless bilabial plosive
132,68,57166876.0,98034844.1472,0.8,0.9,apics,b - voiced bilabial plosive
133,68,57166876.0,98034844.1472,0.8,0.9,apics,t - voiceless dental/alveolar plosive
134,68,57166876.0,98034844.1472,0.8,0.9,apics,d - voiced dental/alveolar plosive
135,1,0.0,0.0,0.0,0.0,apics,t̪ - voiceless interdental plosive
136,1,0.0,0.0,0.0,0.0,apics,d̪ - voiced interdental plosive
137,68,57166876.0,98034844.1472,0.8,0.9,apics,t͡s - voiceless dental/alveolar sibilant affricate
138,68,57166876.0,98034844.1472,0.8,0.9,apics,d͡z - voiced dental/alveolar sibilant affricate
139,68,57166876.0,98034844.1472,0.8,0.9,apics,t͡ʃ - voiceless palato-alveolar sibilant affricate
140,68,57166876.0,98034844.1472,0.8,0.9,apics,d͡ʒ - voiced palato-alveolar sibilant affricate
141,1,5000000.0,0.0,0.1,0.0,apics,ʨ - voiceless alveolo-palatal affricate
142,1,5000000.0,0.0,0.1,0.0,apics,ʥ - voiced alveolo-palatal affricate
143,68,57166876.0,98034844.1472,0.8,0.9,apics,ʈ - voiceless retroflex plosive
144,68,57166876.0,98034844.1472,0.8,0.9,apics,ɖ - voiced retroflex plosive
145,68,57166876.0,98034844.1472,0.8,0.9,apics,c - voiceless palatal plosive
146,68,57166876.0,98034844.1472,0.8,0.9,apics,ɟ - voiced palatal plosive
147,68,57166876.0,98034844.1472,0.8,0.9,apics,k - voiceless velar plosive
148,68,57166876.0,98034844.1472,0.8,0.9,apics,kʷ - labialized voiceless velar plosive
149,68,57166876.0,98034844.1472,0.8,0.9,apics,g - voiced velar plosive
150,1,90000.0,0.0,0.0,0.0,apics,gʷ - labialized voiced velar plosive
151,68,57166876.0,98034844.1472,0.8,0.9,apics,k͡p - voiceless labial-velar plosive
152,68,57166876.0,98034844.1472,0.8,0.9,apics,g͡b - voiced labial-velar plosive
153,68,57166876.0,98034844.1472,0.8,0.9,apics,q - voiceless uvular plosive
154,1,1.0,0.0,0.0,0.0,apics,qʷ - labialized voiceless uvular plosive
155,68,57166876.0,98034844.1472,0.8,0.9,apics,ʔ - glottal plosive
156,68,57166876.0,98034844.1472,0.8,0.9,apics,pʰ - voiceless aspirated bilabial plosive
157,1,800.0,0.0,0.0,0.0,apics,bʰ - voiced aspirated bilabial plosive
158,68,57166876.0,98034844.1472,0.8,0.9,apics,tʰ - voiceless aspirated dental/alveolar plosive
159,68,57166876.0,98034844.1472,0.8,0.9,apics,dʰ - voiced aspirated dental/alveolar plosive
160,68,57166876.0,98034844.1472,0.8,0.9,apics,t͡sʰ - voiceless aspirated dental/alveolar sibilant affricate
161,68,57166876.0,98034844.1472,0.8,0.9,apics,t͡ʃʰ - voiceless aspirated palato-alveolar sibilant affricate
162,1,800.0,0.0,0.0,0.0,apics,ʈʰ - voiceless aspirated retroflex plosive
163,68,57166876.0,98034844.1472,0.8,0.9,apics,kʰ - voiceless aspirated velar plosive
164,1,1.0,0.0,0.0,0.0,apics,kʰʷ - labialized voiceless aspirated velar plosive
165,1,800.0,0.0,0.0,0.0,apics,gʰ - voiced aspirated velar plosive
166,1,1.0,0.0,0.0,0.0,apics,qʰ - voiceless aspirated uvular plosive
167,1,1.0,0.0,0.0,0.0,apics,qʰʷ - labialized voiceless aspirated uvular plosive
168,68,57166876.0,98034844.1472,0.8,0.9,apics,pʼ - voiceless bilabial ejective plosive
169,68,57166876.0,98034844.1472,0.8,0.9,apics,tʼ - voiceless dental/alveolar ejective plosive
170,68,57166876.0,98034844.1472,0.8,0.9,apics,t͡sʼ - voiceless dental/alveolar sibilant ejective affricate
171,68,57166876.0,98034844.1472,0.8,0.9,apics,t͡ʃʼ - voiceless palato-alveolar sibilant ejective affricate
172,68,57166876.0,98034844.1472,0.8,0.9,apics,kʼ - voiceless velar ejective plosive
173,68,57166876.0,98034844.1472,0.8,0.9,apics,kʼʷ - labialized voiceless velar ejective plosive
174,68,57166876.0,98034844.1472,0.8,0.9,apics,qʼ - voiceless uvular ejective plosive
175,1,1.0,0.0,0.0,0.0,apics,qʼʷ - labialized voiceless uvular ejective plosive
176,68,57166876.0,98034844.1472,0.8,0.9,apics,ɓ - voiced bilabial implosive plosive
177,3,159999.0,0.0,0.0,0.0,apics,ɗ - voiced dental/alveolar implosive plosive
178,68,57166876.0,98034844.1472,0.8,0.9,apics,m - voiced bilabial nasal
179,68,57166876.0,98034844.1472,0.8,0.9,apics,n - voiced dental/alveolar nasal
180,68,57166876.0,98034844.1472,0.8,0.9,apics,ɳ - voiced retroflex nasal
181,68,57166876.0,98034844.1472,0.8,0.9,apics,ɲ - voiced palatal nasal
182,68,57166876.0,98034844.1472,0.8,0.9,apics,ŋ - voiced velar nasal
183,68,57166876.0,98034844.1472,0.8,0.9,apics,r - voiced dental/alveolar trill
